"platform","primary_time_seconds"
"N64",2788
"Emu",2790
"N64",2801
"N64",2814
"N64",2816
"N64",2818
"N64",2819
"N64",2819
"Emu",2821
"Emu",2827
"N64",2830
"N64",2833
"N64",2838
"N64",2841
"N64",2843
"N64",2847
"Emu",2849
"N64",2851
"N64",2853
"N64",2855
"N64",2856
"N64",2857
"Emu",2858
"N64",2859
"Emu",2862
"N64",2863
"N64",2863
"Emu",2866
"Emu",2866
"N64",2867
"N64",2872
"N64",2873
"N64",2875
"Emu",2876
"N64",2877
"N64",2878
"N64",2892
"N64",2894
"N64",2895
"N64",2896
"N64",2897
"Emu",2897
"N64",2898
"N64",2900
"N64",2902
"N64",2903
"N64",2904
"Emu",2904
"N64",2906
"N64",2906
"Emu",2908
"N64",2909
"N64",2909
"N64",2909
"N64",2910
"N64",2911
"N64",2912
"N64",2914
"Emu",2915
"N64",2917
"N64",2917
"N64",2918
"N64",2918
"Emu",2921
"Emu",2921
"Emu",2921
"N64",2921
"Emu",2922
"N64",2923
"N64",2925
"Emu",2926
"N64",2926
"N64",2927
"N64",2928
"N64",2929
"N64",2930
"N64",2934
"N64",2935
"N64",2935
"Emu",2935
"N64",2935
"N64",2936
"N64",2936
"N64",2936
"N64",2937
"N64",2937
"N64",2937
"N64",2937
"Emu",2937
"Emu",2937
"Emu",2938
"N64",2938
"N64",2940
"N64",2941
"N64",2943
"N64",2944
"N64",2946
"N64",2947
"N64",2948
"N64",2948
"N64",2949
"Emu",2949
"N64",2949
"Emu",2949
"N64",2950
"N64",2951
"N64",2952
"Emu",2952
"N64",2953
"N64",2954
"N64",2955
"N64",2955
"N64",2955
"Emu",2955
"N64",2956
"N64",2958
"N64",2959
"N64",2960
"Emu",2960
"Emu",2961
"N64",2962
"Emu",2962
"N64",2962
"N64",2964
"Emu",2965
"N64",2965
"Emu",2965
"N64",2967
"N64",2968
"N64",2970
"Emu",2971
"N64",2971
"N64",2973
"Emu",2973
"N64",2974
"N64",2974
"N64",2974
"N64",2975
"N64",2976
"N64",2978
"N64",2978
"N64",2978
"Emu",2978
"N64",2978
"Emu",2979
"N64",2979
"N64",2979
"Emu",2980
"N64",2980
"N64",2980
"N64",2980
"Emu",2981
"N64",2982
"N64",2982
"Emu",2982
"N64",2982
"Emu",2983
"Emu",2983
"N64",2984
"N64",2985
"N64",2986
"N64",2986
"Emu",2986
"Emu",2986
"N64",2986
"N64",2987
"N64",2987
"N64",2988
"N64",2989
"N64",2990
"Emu",2990
"N64",2992
"Emu",2992
"N64",2992
"N64",2993
"N64",2993
"N64",2995
"N64",2995
"N64",2995
"N64",2995
"N64",2995
