"","platform","primary_time_seconds"
"1","N64",2788
"2","Emu",2790
"3","N64",2801
"4","N64",2814
"5","N64",2816
"6","N64",2818
"7","N64",2819
"8","N64",2819
"9","Emu",2821
"10","Emu",2827
"11","N64",2830
"12","N64",2833
"13","N64",2838
"14","N64",2841
"15","N64",2843
"16","N64",2847
"17","Emu",2849
"18","N64",2851
"19","N64",2853
"20","N64",2855
"21","N64",2856
"22","N64",2857
"23","Emu",2858
"24","N64",2859
"25","Emu",2862
"26","N64",2863
"27","N64",2863
"28","Emu",2866
"29","Emu",2866
"30","N64",2867
"31","N64",2872
"32","N64",2873
"33","N64",2875
"34","Emu",2876
"35","N64",2877
"36","N64",2878
"37","N64",2892
"38","N64",2894
"39","N64",2895
"40","N64",2896
"41","N64",2897
"42","Emu",2897
"43","N64",2898
"44","N64",2900
"45","N64",2902
"46","N64",2903
"47","N64",2904
"48","Emu",2904
"49","N64",2906
"50","N64",2906
"51","Emu",2908
"52","N64",2909
"53","N64",2909
"54","N64",2909
"55","N64",2910
"56","N64",2911
"57","N64",2912
"58","N64",2914
"59","Emu",2915
"60","N64",2917
"61","N64",2917
"62","N64",2918
"63","N64",2918
"64","Emu",2921
"65","Emu",2921
"66","Emu",2921
"67","N64",2921
"68","Emu",2922
"69","N64",2923
"70","N64",2925
"71","Emu",2926
"72","N64",2926
"73","N64",2927
"74","N64",2928
"75","N64",2929
"76","N64",2930
"77","N64",2934
"78","N64",2935
"79","N64",2935
"80","Emu",2935
"81","N64",2935
"82","N64",2936
"83","N64",2936
"84","N64",2936
"85","N64",2937
"86","N64",2937
"87","N64",2937
"88","N64",2937
"89","Emu",2937
"90","Emu",2937
"91","Emu",2938
"92","N64",2938
"93","N64",2940
"94","N64",2941
"95","N64",2943
"96","N64",2944
"97","N64",2946
"98","N64",2947
"99","N64",2948
"100","N64",2948
"101","N64",2949
"102","Emu",2949
"103","N64",2949
"104","Emu",2949
"105","N64",2950
"106","N64",2951
"107","N64",2952
"108","Emu",2952
"109","N64",2953
"110","N64",2954
"111","N64",2955
"112","N64",2955
"113","N64",2955
"114","Emu",2955
"115","N64",2956
"116","N64",2958
"117","N64",2959
"118","N64",2960
"119","Emu",2960
"120","Emu",2961
"121","N64",2962
"122","Emu",2962
"123","N64",2962
"124","N64",2964
"125","Emu",2965
"126","N64",2965
"127","Emu",2965
"128","N64",2967
"129","N64",2968
"130","N64",2970
"131","Emu",2971
"132","N64",2971
"133","N64",2973
"134","Emu",2973
"135","N64",2974
"136","N64",2974
"137","N64",2974
"138","N64",2975
"139","N64",2976
"140","N64",2978
"141","N64",2978
"142","N64",2978
"143","Emu",2978
"144","N64",2978
"145","Emu",2979
"146","N64",2979
"147","N64",2979
"148","Emu",2980
"149","N64",2980
"150","N64",2980
"151","N64",2980
"152","Emu",2981
"153","N64",2982
"154","N64",2982
"155","Emu",2982
"156","N64",2982
"157","Emu",2983
"158","Emu",2983
"159","N64",2984
"160","N64",2985
"161","N64",2986
"162","N64",2986
"163","Emu",2986
"164","Emu",2986
"165","N64",2986
"166","N64",2987
"167","N64",2987
"168","N64",2988
"169","N64",2989
"170","N64",2990
"171","Emu",2990
"172","N64",2992
"173","Emu",2992
"174","N64",2992
"175","N64",2993
"176","N64",2993
"177","N64",2995
"178","N64",2995
"179","N64",2995
"180","N64",2995
"181","N64",2995
"182","Emu",2997
"183","N64",2997
"184","Emu",2997
"185","N64",2998
"186","Emu",2998
"187","Emu",2999
"188","N64",2999
"189","N64",3000
"190","N64",3002
"191","N64",3004
"192","N64",3005
"193","N64",3006
"194","N64",3008
"195","N64",3008
"196","Emu",3008
"197","N64",3008
"198","N64",3011
"199","Emu",3011
"200","Emu",3013
"201","N64",3013
"202","N64",3019
"203","N64",3020
"204","N64",3024
"205","N64",3024
"206","Emu",3024
"207","Emu",3025
"208","N64",3025
"209","N64",3025
"210","Emu",3026
"211","N64",3026
"212","N64",3027
"213","N64",3028
"214","N64",3029
"215","Emu",3029
"216","N64",3030
"217","N64",3030
"218","N64",3030
"219","N64",3031
"220","Emu",3031
"221","Emu",3033
"222","N64",3034
"223","N64",3034
"224","N64",3035
"225","N64",3037
"226","N64",3037
"227","N64",3037
"228","Emu",3038
"229","N64",3039
"230","Emu",3039
"231","Emu",3039
"232","N64",3040
"233","N64",3040
"234","Emu",3040
"235","Emu",3040
"236","Emu",3041
"237","N64",3041
"238","N64",3044
"239","Emu",3044
"240","N64",3048
"241","Emu",3048
"242","N64",3049
"243","Emu",3049
"244","N64",3049
"245","Emu",3051
"246","Emu",3051
"247","N64",3052
"248","N64",3053
"249","N64",3054
"250","Emu",3054
"251","N64",3054
"252","Emu",3054
"253","Emu",3054
"254","Emu",3055
"255","Emu",3056
"256","N64",3056
"257","N64",3056
"258","N64",3056
"259","N64",3056
"260","N64",3057
"261","Emu",3057
"262","N64",3057
"263","Emu",3059
"264","N64",3060
"265","N64",3060
"266","Emu",3061
"267","N64",3064
"268","N64",3064
"269","Emu",3064
"270","N64",3068
"271","N64",3068
"272","Emu",3069
"273","N64",3070
"274","N64",3070
"275","Emu",3070
"276","N64",3071
"277","N64",3072
"278","N64",3072
"279","Emu",3075
"280","N64",3075
"281","N64",3076
"282","N64",3076
"283","Emu",3076
"284","N64",3077
"285","N64",3078
"286","N64",3080
"287","Emu",3080
"288","N64",3081
"289","Emu",3081
"290","N64",3081
"291","N64",3082
"292","N64",3083
"293","N64",3084
"294","Emu",3085
"295","N64",3085
"296","N64",3086
"297","N64",3088
"298","N64",3089
"299","N64",3090
"300","N64",3091
"301","N64",3092
"302","Emu",3092
"303","N64",3093
"304","Emu",3093
"305","N64",3093
"306","N64",3094
"307","N64",3095
"308","N64",3095
"309","Emu",3095
"310","Emu",3096
"311","Emu",3096
"312","N64",3096
"313","Emu",3097
"314","Emu",3097
"315","N64",3098
"316","N64",3098
"317","Emu",3098
"318","N64",3098
"319","N64",3099
"320","N64",3099
"321","N64",3103
"322","Emu",3103
"323","N64",3103
"324","Emu",3105
"325","N64",3105
"326","N64",3107
"327","Emu",3108
"328","Emu",3108
"329","N64",3108
"330","Emu",3109
"331","Emu",3109
"332","N64",3110
"333","N64",3110
"334","N64",3111
"335","N64",3111
"336","Emu",3111
"337","N64",3112
"338","N64",3112
"339","N64",3113
"340","Emu",3113
"341","N64",3113
"342","N64",3114
"343","N64",3115
"344","N64",3117
"345","Emu",3117
"346","Emu",3117
"347","Emu",3118
"348","Emu",3118
"349","N64",3121
"350","N64",3123
"351","N64",3124
"352","N64",3125
"353","N64",3126
"354","N64",3126
"355","Emu",3128
"356","Emu",3128
"357","N64",3129
"358","Emu",3130
"359","N64",3131
"360","Emu",3132
"361","N64",3133
"362","Emu",3133
"363","N64",3133
"364","N64",3133
"365","N64",3133
"366","N64",3134
"367","Emu",3134
"368","N64",3135
"369","N64",3135
"370","N64",3136
"371","N64",3137
"372","N64",3138
"373","N64",3139
"374","N64",3139
"375","Emu",3139
"376","N64",3140
"377","N64",3140
"378","Emu",3141
"379","N64",3142
"380","N64",3142
"381","Emu",3142
"382","N64",3143
"383","Emu",3146
"384","N64",3147
"385","Emu",3147
"386","N64",3149
"387","N64",3149
"388","Emu",3150
"389","Emu",3152
"390","N64",3153
"391","N64",3155
"392","N64",3155
"393","Emu",3155
"394","N64",3156
"395","Emu",3157
"396","N64",3157
"397","Emu",3157
"398","Emu",3157
"399","N64",3157
"400","N64",3158
"401","N64",3159
"402","Emu",3160
"403","N64",3160
"404","N64",3161
"405","Emu",3161
"406","Emu",3161
"407","Emu",3161
"408","N64",3162
"409","N64",3162
"410","N64",3163
"411","N64",3163
"412","N64",3164
"413","Emu",3164
"414","N64",3164
"415","Emu",3164
